time	peer	dir	hex	kind	name	detail
2026-09-18T01:07:44.090	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:07:44.132	processor:33714	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T01:07:44.132	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:07:44.149	processor:33714	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T01:07:44.152	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:44.164	processor:33714	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T01:07:44.164	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:07:44.198	processor:33714	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T01:07:44.198	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:44.210	processor:33714	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T01:07:44.215	processor:33714	tx	90 50 01 0F 04 00 FF	reply		
2026-09-18T01:07:44.225	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:07:44.227	processor:33714	tx	90 50 00 03 0E 08 0F 0E 00 0C FF	reply		
2026-09-18T01:07:44.236	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:07:44.236	processor:33714	tx	90 50 00 03 0E 08 0F 0E 00 0C FF	reply		
2026-09-18T01:07:44.245	processor:33714	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T01:07:44.245	processor:33714	tx	90 50 01 04 FF	reply		
2026-09-18T01:07:47.168	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:07:47.168	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:47.187	processor:33714	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T01:07:47.187	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:47.199	processor:33714	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T01:07:47.200	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:07:47.202	processor:33714	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T01:07:47.202	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:07:47.220	processor:33714	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T01:07:47.221	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:47.230	processor:33714	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T01:07:47.231	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:07:47.240	processor:33714	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T01:07:47.241	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:47.251	processor:33714	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T01:07:47.251	processor:33714	tx	90 50 01 0F 04 00 FF	reply		
2026-09-18T01:07:47.261	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:07:47.261	processor:33714	tx	90 50 00 03 0E 08 0F 0E 00 0C FF	reply		
2026-09-18T01:07:47.272	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:07:47.272	processor:33714	tx	90 50 00 03 0E 08 0F 0E 00 0C FF	reply		
2026-09-18T01:07:47.282	processor:33714	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T01:07:47.282	processor:33714	tx	90 50 01 04 FF	reply		
2026-09-18T01:07:50.262	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:07:50.262	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:50.276	processor:33714	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T01:07:50.276	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:50.285	processor:33714	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T01:07:50.286	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:07:50.295	processor:33714	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T01:07:50.295	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:07:50.306	processor:33714	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T01:07:50.306	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:50.317	processor:33714	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T01:07:50.317	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:07:50.328	processor:33714	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T01:07:50.328	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:50.339	processor:33714	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T01:07:50.339	processor:33714	tx	90 50 01 0F 04 00 FF	reply		
2026-09-18T01:07:50.351	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:07:50.351	processor:33714	tx	90 50 00 03 0E 08 0F 0E 00 0C FF	reply		
2026-09-18T01:07:50.364	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:07:50.364	processor:33714	tx	90 50 00 03 0E 08 0F 0E 00 0C FF	reply		
2026-09-18T01:07:50.374	processor:33714	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T01:07:50.376	processor:33714	tx	90 50 01 04 FF	reply		
2026-09-18T01:07:53.324	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:07:53.324	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:53.341	processor:33714	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T01:07:53.341	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:53.354	processor:33714	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T01:07:53.354	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:07:53.358	processor:33714	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T01:07:53.367	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:07:53.375	processor:33714	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T01:07:53.375	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:53.386	processor:33714	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T01:07:53.387	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:07:53.398	processor:33714	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T01:07:53.399	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:53.408	processor:33714	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T01:07:53.408	processor:33714	tx	90 50 01 0F 04 00 FF	reply		
2026-09-18T01:07:53.421	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:07:53.421	processor:33714	tx	90 50 00 03 0E 08 0F 0E 00 0C FF	reply		
2026-09-18T01:07:53.427	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:07:53.427	processor:33714	tx	90 50 00 03 0E 08 0F 0E 00 0C FF	reply		
2026-09-18T01:07:53.445	processor:33714	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T01:07:53.445	processor:33714	tx	90 50 01 04 FF	reply		
2026-09-18T01:07:56.587	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:07:56.587	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:56.622	processor:33714	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T01:07:56.622	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:56.652	processor:33714	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T01:07:56.652	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:07:56.688	processor:33714	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T01:07:56.688	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:07:56.704	processor:33714	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T01:07:56.704	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:56.710	processor:33714	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T01:07:56.710	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:07:56.724	processor:33714	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T01:07:56.724	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:56.737	processor:33714	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T01:07:56.738	processor:33714	tx	90 50 01 0F 04 00 FF	reply		
2026-09-18T01:07:56.746	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:07:56.747	processor:33714	tx	90 50 00 03 0E 08 0F 0E 00 0C FF	reply		
2026-09-18T01:07:56.756	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:07:56.756	processor:33714	tx	90 50 00 03 0E 08 0F 0E 00 0C FF	reply		
2026-09-18T01:07:56.758	processor:33714	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T01:07:56.758	processor:33714	tx	90 50 01 04 FF	reply		
2026-09-18T01:07:59.691	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:07:59.691	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:59.704	processor:33714	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T01:07:59.704	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:59.721	processor:33714	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T01:07:59.721	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:07:59.727	processor:33714	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T01:07:59.733	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:07:59.738	processor:33714	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T01:07:59.738	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:59.754	processor:33714	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T01:07:59.754	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:07:59.759	processor:33714	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T01:07:59.759	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:59.772	processor:33714	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T01:07:59.772	processor:33714	tx	90 50 01 0F 04 00 FF	reply		
2026-09-18T01:07:59.781	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:07:59.781	processor:33714	tx	90 50 00 03 0E 08 0F 0E 00 0C FF	reply		
2026-09-18T01:07:59.795	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:07:59.795	processor:33714	tx	90 50 00 03 0E 08 0F 0E 00 0C FF	reply		
2026-09-18T01:07:59.807	processor:33714	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T01:07:59.807	processor:33714	tx	90 50 01 04 FF	reply		
2026-09-18T01:08:02.766	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:08:02.766	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:08:02.784	processor:33714	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T01:08:02.784	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:08:02.791	processor:33714	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T01:08:02.791	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:08:02.806	processor:33714	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T01:08:02.806	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:08:02.816	processor:33714	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T01:08:02.816	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:08:02.825	processor:33714	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T01:08:02.825	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:08:02.834	processor:33714	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T01:08:02.834	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:08:02.846	processor:33714	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T01:08:02.847	processor:33714	tx	90 50 01 0F 04 00 FF	reply		
2026-09-18T01:08:02.856	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:08:02.858	processor:33714	tx	90 50 00 03 0E 08 0F 0E 00 0C FF	reply		
2026-09-18T01:08:02.868	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:08:02.868	processor:33714	tx	90 50 00 03 0E 08 0F 0E 00 0C FF	reply		
2026-09-18T01:08:02.879	processor:33714	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T01:08:02.879	processor:33714	tx	90 50 01 04 FF	reply		
2026-09-18T01:08:05.846	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:08:05.846	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:08:05.864	processor:33714	rx	81 09 08 01 FF	inquiry	TrackingFraming	
